target_id	length	eff_length	est_counts	tpm
ENSMUST00000103635.2	280	101	0	0
ENSMUST00000103636.3	336	157	0	0
ENSMUST00000103637.5	331	152	1	29.7102
ENSMUST00000180549.2	338	159	1	28.4022
ENSMUST00000183604.1	305	126	1	35.8409
ENSMUST00000197007.1	338	159	1	28.4022
ENSMUST00000103593.2	341	162	1	27.8762
ENSMUST00000103264.2	351	172	1	26.2555
ENSMUST00000103265.4	344	165	1	27.3694
ENSMUST00000103266.2	341	162	1	27.8762
ENSMUST00000103267.2	372	193	1	23.3987
ENSMUST00000194399.1	337	158	1	28.582
ENSMUST00000103268.2	334	155	1	29.1352
ENSMUST00000103269.2	372	193	1	23.3987
ENSMUST00000103270.3	340	161	1	28.0494
ENSMUST00000103271.1	340	161	1	28.0494
ENSMUST00000103272.3	346	167	1	27.0416
ENSMUST00000103273.2	347	168	1	26.8806
ENSMUST00000103274.3	347	168	1	26.8806
ENSMUST00000103275.3	344	165	1	27.3694
ENSMUST00000103276.2	352	173	1	26.1038
ENSMUST00000103277.1	335	156	1	28.9484
ENSMUST00000195087.1	291	112	1	40.321
ENSMUST00000103278.2	290	111	1	40.6842
ENSMUST00000193997.5	347	168	1	26.8806
ENSMUST00000103279.2	344	165	1	27.3694
ENSMUST00000193064.1	347	168	1	26.8806
ENSMUST00000103280.2	344	165	1	27.3694
ENSMUST00000103281.2	344	165	1	27.3694
ENSMUST00000191646.5	335	156	1	28.9484
ENSMUST00000103282.2	332	153	1	29.516
ENSMUST00000103567.5	332	153	1	29.516
ENSMUST00000185651.1	329	150	1	30.1063
ENSMUST00000193003.1	335	156	1	28.9484
ENSMUST00000103300.2	334	155	1	29.1352
ENSMUST00000196939.1	328	149	1	30.3084
ENSMUST00000103568.2	325	146	1	30.9312
ENSMUST00000103569.2	343	164	1	27.5363
ENSMUST00000103570.1	343	164	1	27.5363
ENSMUST00000103571.1	338	159	1	28.4022
ENSMUST00000198019.1	337	158	1	28.582
ENSMUST00000198058.1	341	162	1	27.8762
ENSMUST00000103573.2	338	159	1	28.4022
ENSMUST00000200127.1	337	158	2	57.1639
ENSMUST00000181483.2	338	159	1	28.4022
ENSMUST00000184883.1	308	129	1	35.0074
ENSMUST00000179789.3	337	158	1	28.582
ENSMUST00000180717.2	347	168	1	26.8806
ENSMUST00000183820.1	338	159	1	28.4022
ENSMUST00000178768.3	341	162	1	27.8762
ENSMUST00000103580.3	337	158	1	28.582
ENSMUST00000178426.3	337	158	1	28.582
ENSMUST00000180687.2	338	159	1	28.4022
ENSMUST00000103646.4	343	164	1	27.5363
ENSMUST00000197754.1	344	165	1	27.3694
ENSMUST00000103648.3	342	163	0	0
ENSMUST00000197128.1	337	158	1	28.582
ENSMUST00000181360.2	347	168	1	26.8806
ENSMUST00000183652.1	344	165	1	27.3694
ENSMUST00000103588.3	331	152	1	29.7102
ENSMUST00000181038.2	364	185	1	24.4105
ENSMUST00000187138.1	340	161	1	28.0494
ENSMUST00000103616.4	373	194	2	46.5562
ENSMUST00000186370.1	349	170	1	26.5644
ENSMUST00000199746.4	340	161	1	28.0494
ENSMUST00000178824.1	337	158	1	28.582
ENSMUST00000103592.1	331	152	1	29.7102
ENSMUST00000199017.1	341	162	2	55.7525
ENSMUST00000103556.2	293	114	0	0
ENSMUST00000103553.2	350	171	1	26.4091
ENSMUST00000198330.1	364	185	1	24.4105
ENSMUST00000103555.2	403	224	1	20.1605
ENSMUST00000103554.4	419	240	1	18.8165
ENSMUST00000198663.4	353	174	1	25.9537
ENSMUST00000103559.2	350	171	1	26.4091
ENSMUST00000103563.2	350	171	1	26.4091
ENSMUST00000103564.2	347	168	1	26.8806
ENSMUST00000103262.2	350	171	1	26.4091
ENSMUST00000103263.2	344	165	1	27.3694
ENSMUST00000216912.1	937	758	2	11.9154
ENSMUST00000178303.1	804	625	0	0
ENSMUST00000179386.1	948	769	1	5.8725
ENSMUST00000174262.3	957	778	1	5.80456
ENSMUST00000173904.3	930	751	1	6.01325
ENSMUST00000214075.2	931	752	1	6.00525
ENSMUST00000214936.1	931	752	1	6.00525
ENSMUST00000215471.1	931	752	1	6.00525
ENSMUST00000215546.1	949	770	1	5.86487
ENSMUST00000121340.1	945	766	1	5.89549
ENSMUST00000216831.2	944	765	1	5.9032
ENSMUST00000239057.1	1492	1313	1	3.43941
ENSMUST00000121914.2	952	773	1	5.84211
ENSMUST00000174177.1	915	736	1	6.1358
ENSMUST00000216665.2	958	779	1	5.79711
ENSMUST00000149775.2	957	778	1	5.80456
ENSMUST00000118957.1	930	751	1	6.01325
ENSMUST00000117787.3	929	750	1	6.02127
ENSMUST00000210779.1	951	772	1	5.84967
ENSMUST00000214356.2	924	745	1	6.06168
ENSMUST00000209871.2	926	747	1	6.04545
ENSMUST00000210949.2	926	747	1	6.04545
ENSMUST00000173185.1	1116	937	1	4.81958
ENSMUST00000175971.2	2721	2542	1.77266	3.1492
ENSMUST00000234658.1	1287	1108	0.227336	0.926569
ENSMUST00000215139.1	932	753	1	5.99728
ENSMUST00000208970.2	939	760	1.33333	7.92272
ENSMUST00000219487.1	939	760	1.33333	7.92272
ENSMUST00000174025.2	939	760	1.33333	7.92272
ENSMUST00000174673.2	492	313	0	0
ENSMUST00000215191.1	933	754	2	11.9786
ENSMUST00000215291.1	37	3.23562	0	0
ENSMUST00000213073.1	929	750	1	6.02127
ENSMUST00000213589.1	935	756	1	5.97348
ENSMUST00000207772.2	926	747	1	6.04545
ENSMUST00000122808.1	302	123	1	36.715
ENSMUST00000077820.5	300	121	1	37.3219
ENSMUST00000194248.1	806	627	1	7.20247
ENSMUST00000106393.7	210	33.6633	1	134.151
ENSMUST00000006562.5	804	625	1	7.22552
ENSMUST00000117982.1	932	753	1	5.99728
ENSMUST00000211893.1	929	750	1	6.02127
ENSMUST00000071242.4	934	755	1	5.98139
ENSMUST00000214399.3	897	718	1	6.28962
ENSMUST00000211998.1	932	753	1	5.99728
ENSMUST00000239412.1	2696	2517	1	1.79418
ENSMUST00000159734.3	1299	1120	1	4.0321
ENSMUST00000159611.9	1524	1345	1	3.35758
ENSMUST00000209914.1	959	780	1	5.78968
ENSMUST00000072887.4	966	787	1	5.73818
ENSMUST00000211596.1	921	742	1	6.08618
ENSMUST00000117860.1	950	771	1	5.85726
ENSMUST00000208175.1	937	758	1	5.95772
ENSMUST00000117959.2	963	784	1	5.76014
ENSMUST00000177481.3	891	712	1	6.34263
ENSMUST00000172979.3	998	819	1	5.51398
ENSMUST00000182198.7	963	784	0	0
ENSMUST00000194951.1	1194	1015	2	8.89842
ENSMUST00000096114.12	1029	850	1.77083	9.40823
ENSMUST00000163093.1	549	370	0.229167	2.79704
ENSMUST00000222301.1	929	750	1.39147	8.37838
ENSMUST00000069063.4	390	211	0.608534	13.0242
ENSMUST00000134042.2	687	508	1	8.88966
ENSMUST00000235482.1	687	508	1	8.88966
ENSMUST00000134011.3	944	765	1	5.9032
ENSMUST00000117349.7	934	755	1	5.98139
ENSMUST00000135748.1	442	263	1	17.1709
ENSMUST00000077582.13	438	259	1	17.4361
ENSMUST00000134773.3	932	753	1	5.99728
ENSMUST00000118336.3	941	762	1	5.92644
ENSMUST00000126664.7	4410	4231	1.18416	1.26391
ENSMUST00000169617.2	648	469	1	9.62889
ENSMUST00000094710.7	837	658	0.815841	5.59923
ENSMUST00000143750.3	939	760	2	11.8841
ENSMUST00000205791.1	633	454	0	0
ENSMUST00000115991.3	937	758	1	5.95772
ENSMUST00000100960.10	1860	1681	2	5.37293
ENSMUST00000171587.1	1329	1150	0	0
ENSMUST00000194208.5	1010	831	1	5.43436
ENSMUST00000192481.1	896	717	1	6.29839
ENSMUST00000041920.4	1008	829	1	5.44747
ENSMUST00000183317.7	5118	4939	1.0232	0.93556
ENSMUST00000086432.6	291	112	0.976797	39.3854
ENSMUST00000121065.2	972	793	1	5.69477
ENSMUST00000118809.2	971	792	1	5.70196
ENSMUST00000195589.5	735	556	1	8.12221
ENSMUST00000184581.2	600	421	1	10.7267
ENSMUST00000112076.8	735	556	1	8.12221
ENSMUST00000206214.2	925	746	1	6.05355
ENSMUST00000205727.2	925	746	1	6.05355
ENSMUST00000183378.2	207	31.3862	1	143.883
ENSMUST00000118378.1	948	769	1.6327	9.588
ENSMUST00000209201.1	477	298	0.367304	5.56619
ENSMUST00000173420.1	864	685	1	6.59263
ENSMUST00000208396.1	925	746	1	6.05355
ENSMUST00000202355.1	858	679	1	6.65088
ENSMUST00000182769.9	1477	1298	1	3.47916
ENSMUST00000088673.4	531	352	1	12.8294
ENSMUST00000094105.4	943	764	1	5.91093
ENSMUST00000205127.1	936	757	1	5.96559
ENSMUST00000208760.1	923	744	1	6.06982
ENSMUST00000217577.1	914	735	1	6.14415
ENSMUST00000207287.2	925	746	1	6.05355
ENSMUST00000121614.1	952	773	2	11.6842
ENSMUST00000217546.1	852	673	0	0
ENSMUST00000213225.2	942	763	1	5.91868
ENSMUST00000117704.1	943	764	1	5.91093
ENSMUST00000183291.1	1131	952	1	4.74364
ENSMUST00000086377.8	756	577	1	7.8266
ENSMUST00000217438.1	943	764	1	5.91093
ENSMUST00000201125.3	1240	1061	1	4.25631
ENSMUST00000006814.8	1239	1060	1	4.26033
ENSMUST00000119267.1	955	776	1	5.81952
ENSMUST00000213169.1	950	771	0	0
ENSMUST00000055276.5	1260	1081	2	8.35513
ENSMUST00000217651.1	1392	1213	1	3.72296
ENSMUST00000034492.5	1392	1213	1	3.72296
ENSMUST00000195764.1	2796	2617	1	1.72562
ENSMUST00000121432.3	981	802	1	5.63086
ENSMUST00000173080.9	1050	871	2	10.3696
ENSMUST00000185167.7	174	14.6185	0	0
ENSMUST00000195838.5	1017	838	1	5.38896
ENSMUST00000194244.5	774	595	1	7.58983
ENSMUST00000185087.7	345	166	1	27.2045
ENSMUST00000195833.5	741	562	1	8.0355
ENSMUST00000184502.7	774	595	1	7.58983
ENSMUST00000183560.7	228	49.4247	1	91.3703
ENSMUST00000183999.7	270	91.0003	1	49.6257
ENSMUST00000192532.1	995	816	0	0
ENSMUST00000118736.3	984	805	1	5.60987
ENSMUST00000113768.7	1194	1015	1	4.44921
ENSMUST00000232193.2	897	718	1	6.28962
ENSMUST00000023655.12	1884	1705	1	2.64865
ENSMUST00000232282.2	864	685	1	6.59263
ENSMUST00000174382.7	651	472	1	9.56769
ENSMUST00000166442.2	1140	961	1	4.69922
ENSMUST00000190447.7	1738	1559	0	0
ENSMUST00000188251.6	1969	1790	2	5.04575
ENSMUST00000024112.7	1968	1789	1	2.52429
ENSMUST00000223545.1	939	760	1	5.94204
ENSMUST00000118068.2	2043	1864	1	2.42272
ENSMUST00000189634.6	232	53.2554	1	84.7979
ENSMUST00000056590.5	231	52.2911	1	86.3617
ENSMUST00000198398.4	414	235	1	19.2168
ENSMUST00000103740.1	414	235	1	19.2168
ENSMUST00000196323.1	462	283	1	15.9574
ENSMUST00000192856.5	522	343	1	13.166
ENSMUST00000103291.1	513	334	1	13.5208
ENSMUST00000103299.2	522	343	1	13.166
ENSMUST00000103558.2	519	340	1	13.2822
ENSMUST00000198163.1	447	268	1	16.8506
ENSMUST00000164407.1	519	340	1	13.2822
ENSMUST00000103561.2	504	325	1	13.8952
ENSMUST00000179181.2	573	394	1	11.4618
ENSMUST00000200211.1	40	3.2891	0	0
ENSMUST00000199490.1	40	3.2891	0	0
ENSMUST00000200074.1	40	3.2891	0	0
ENSMUST00000198313.1	44	3.36374	0	0
ENSMUST00000197969.1	40	3.2891	0	0
ENSMUST00000103427.1	55	3.59105	0	0
ENSMUST00000103428.1	49	3.46281	0	0
ENSMUST00000192746.1	49	3.46281	0	0
ENSMUST00000103430.1	55	3.59105	0	0
ENSMUST00000103408.1	40	3.2891	0	0
ENSMUST00000199487.1	40	3.2891	0	0
ENSMUST00000198234.1	40	3.2891	0	0
ENSMUST00000199459.1	40	3.2891	0	0
ENSMUST00000103405.1	40	3.2891	0	0
ENSMUST00000200235.1	318	139	1	32.4888
ENSMUST00000200568.1	321	142	1	31.8025
ENSMUST00000197046.1	315	136	1	33.2055
ENSMUST00000198182.1	318	139	2	64.9777
ENSMUST00000103749.2	315	136	0	0
ENSMUST00000223335.1	1461	1282	1	3.52258
ENSMUST00000137336.2	1269	1090	1	4.14307
ENSMUST00000103416.8	1215	1036	1	4.35902
ENSMUST00000195192.1	1008	829	1	5.44747
ENSMUST00000192188.2	1218	1039	1	4.34644
ENSMUST00000103418.2	1011	832	1	5.42782
ENSMUST00000194304.5	1182	1003	1	4.50244
ENSMUST00000103420.2	975	796	1	5.6733
ENSMUST00000223179.1	1200	1021	1	4.42306
ENSMUST00000103423.2	993	814	1	5.54785
ENSMUST00000194162.5	876	697	1	6.47912
ENSMUST00000192250.1	777	598	1	7.55175
ENSMUST00000177715.7	1431	1252	1	3.60699
ENSMUST00000103426.2	1368	1189	1	3.79811
ENSMUST00000103410.2	324	145	1	31.1445
ENSMUST00000194738.5	1170	991	1	4.55696
ENSMUST00000178282.2	1035	856	1	5.27564
ENSMUST00000103536.3	358	179	1	25.2288
ENSMUST00000103537.2	351	172	1	26.2555
ENSMUST00000198646.1	351	172	2	52.511
ENSMUST00000103538.2	294	115	0	0
ENSMUST00000199933.4	351	172	1	26.2555
ENSMUST00000103539.2	348	169	1	26.7216
ENSMUST00000199266.1	358	179	1	25.2288
ENSMUST00000103540.2	315	136	1	33.2055
ENSMUST00000196690.1	359	180	2	50.1772
ENSMUST00000166645.1	302	123	0	0
ENSMUST00000103541.2	351	172	1	26.2555
ENSMUST00000103746.2	351	172	1	26.2555
ENSMUST00000103529.3	351	172	1	26.2555
ENSMUST00000195359.5	351	172	1	26.2555
ENSMUST00000103530.2	348	169	1	26.7216
ENSMUST00000103531.3	351	172	1	26.2555
ENSMUST00000103503.3	349	170	2	53.1288
ENSMUST00000171270.1	90	4.62459	0	0
ENSMUST00000194581.1	359	180	2	50.1772
ENSMUST00000163467.1	302	123	0	0
ENSMUST00000103532.2	351	172	1	26.2555
ENSMUST00000197803.1	358	179	2	50.4575
ENSMUST00000103533.1	301	122	0	0
ENSMUST00000103534.1	351	172	1	26.2555
ENSMUST00000103535.2	351	172	1	26.2555
ENSMUST00000192591.1	358	179	1	25.2288
ENSMUST00000194257.1	358	179	1	25.2288
ENSMUST00000103521.2	351	172	1	26.2555
ENSMUST00000192554.5	351	172	1	26.2555
ENSMUST00000103522.2	348	169	1	26.7216
ENSMUST00000103523.1	351	172	1	26.2555
ENSMUST00000193145.1	354	175	1	25.8054
ENSMUST00000103524.1	301	122	1	37.016
ENSMUST00000103525.2	351	172	1	26.2555
ENSMUST00000103526.2	351	172	1	26.2555
ENSMUST00000194071.1	351	172	2	52.511
ENSMUST00000103527.1	294	115	0	0
ENSMUST00000192724.1	351	172	2	52.511
ENSMUST00000103519.1	294	115	0	0
ENSMUST00000195469.5	351	172	2	52.511
ENSMUST00000109711.3	180	16.6423	0	0
ENSMUST00000103500.1	294	115	0	0
ENSMUST00000192077.1	351	172	1	26.2555
ENSMUST00000103501.2	294	115	1	39.2691
ENSMUST00000194350.5	351	172	1	26.2555
ENSMUST00000103504.2	306	127	1	35.5587
ENSMUST00000193855.1	351	172	1	26.2555
ENSMUST00000103505.2	348	169	1	26.7216
ENSMUST00000194968.5	351	172	1	26.2555
ENSMUST00000103506.2	348	169	1	26.7216
ENSMUST00000103507.1	351	172	1	26.2555
ENSMUST00000194625.1	351	172	1	26.2555
ENSMUST00000191861.1	351	172	2	52.511
ENSMUST00000103509.1	294	115	0	0
ENSMUST00000103510.1	351	172	1	26.2555
ENSMUST00000195735.1	351	172	2	52.511
ENSMUST00000103511.1	294	115	0	0
ENSMUST00000103512.2	351	172	1	26.2555
ENSMUST00000191862.5	351	172	1	26.2555
ENSMUST00000103513.2	348	169	1	26.7216
ENSMUST00000193950.5	351	172	1	26.2555
ENSMUST00000103514.2	348	169	1	26.7216
ENSMUST00000103515.1	351	172	1	26.2555
ENSMUST00000191868.1	351	172	2	52.511
ENSMUST00000103516.1	294	115	0	0
ENSMUST00000195417.1	351	172	2	52.511
ENSMUST00000103517.1	294	115	0	0
ENSMUST00000194865.1	351	172	2	52.511
ENSMUST00000103518.1	294	115	0	0
ENSMUST00000192298.1	351	172	2	52.511
ENSMUST00000178949.1	294	115	0	0
ENSMUST00000195468.5	353	174	1	25.9537
ENSMUST00000103442.2	350	171	1	26.4091
ENSMUST00000103443.2	350	171	1	26.4091
ENSMUST00000103444.2	353	174	1	25.9537
ENSMUST00000178229.2	347	168	1	26.8806
ENSMUST00000195707.2	350	171	1	26.4091
ENSMUST00000103449.3	347	168	1	26.8806
ENSMUST00000103450.3	353	174	1	25.9537
ENSMUST00000179657.1	350	171	1	26.4091
ENSMUST00000192264.1	380	201	1	22.4674
ENSMUST00000103452.2	350	171	1	26.4091
ENSMUST00000195381.1	353	174	1	25.9537
ENSMUST00000180013.2	350	171	1	26.4091
ENSMUST00000103446.1	353	174	1	25.9537
ENSMUST00000103447.1	350	171	1	26.4091
ENSMUST00000103448.2	353	174	1	25.9537
ENSMUST00000192911.1	350	171	1	26.4091
ENSMUST00000103455.2	342	163	1	27.7052
ENSMUST00000103456.3	350	171	1	26.4091
ENSMUST00000192877.1	353	174	1	25.9537
ENSMUST00000103457.2	350	171	1	26.4091
ENSMUST00000193652.1	353	174	1	25.9537
ENSMUST00000103458.2	350	171	1	26.4091
ENSMUST00000103459.4	351	172	1	26.2555
ENSMUST00000164041.2	299	120	0	0
ENSMUST00000103542.1	303	124	2	72.8379
ENSMUST00000196587.4	351	172	1	26.2555
ENSMUST00000103543.2	348	169	1	26.7216
ENSMUST00000103544.2	351	172	1	26.2555
ENSMUST00000103451.4	350	171	1	26.4091
ENSMUST00000103474.4	363	184	1	24.5432
ENSMUST00000193133.2	357	178	1	25.3705
ENSMUST00000103462.3	354	175	1	25.8054
ENSMUST00000103463.2	351	172	1	26.2555
ENSMUST00000103464.2	350	171	1	26.4091
ENSMUST00000103478.3	350	171	1	26.4091
ENSMUST00000103466.1	353	174	1	25.9537
ENSMUST00000103467.1	351	172	1	26.2555
ENSMUST00000103468.2	353	174	1	25.9537
ENSMUST00000197537.1	351	172	2	52.511
ENSMUST00000169155.1	294	115	0	0
ENSMUST00000103469.3	351	172	1	26.2555
ENSMUST00000198777.1	351	172	2	52.511
ENSMUST00000170551.1	294	115	0	0
ENSMUST00000195641.1	353	174	2	51.9075
ENSMUST00000103470.1	299	120	0	0
ENSMUST00000199373.1	351	172	2	52.511
ENSMUST00000163670.1	294	115	0	0
ENSMUST00000195884.1	351	172	2	52.511
ENSMUST00000103471.1	294	115	0	0
ENSMUST00000103547.1	351	172	1	26.2555
ENSMUST00000103548.2	351	172	1	26.2555
ENSMUST00000103472.3	351	172	1	26.2555
ENSMUST00000196991.1	351	172	2	52.511
ENSMUST00000103549.1	294	115	0	0
ENSMUST00000103551.1	351	172	1	26.2555
ENSMUST00000103552.1	351	172	1	26.2555
ENSMUST00000103473.1	351	172	1	26.2555
ENSMUST00000103461.4	361	182	1	24.8129
ENSMUST00000103302.2	362	183	1	24.6773
ENSMUST00000103303.2	362	183	1	24.6773
ENSMUST00000195706.1	351	172	1	26.2555
ENSMUST00000103475.1	333	154	1	29.3243
ENSMUST00000191693.1	350	171	2	52.8181
ENSMUST00000103476.1	296	117	0	0
ENSMUST00000192499.2	363	184	1	24.5432
ENSMUST00000103477.3	360	181	1	24.95
ENSMUST00000193408.1	353	174	1	25.9537
ENSMUST00000195619.1	353	174	2	51.9075
ENSMUST00000103479.3	299	120	0	0
ENSMUST00000195124.5	350	171	1	26.4091
ENSMUST00000103481.2	342	163	1	27.7052
ENSMUST00000194159.1	351	172	2	52.511
ENSMUST00000103482.1	294	115	0	0
ENSMUST00000103483.2	394	215	1	21.0044
ENSMUST00000125484.2	359	180	2	50.1772
ENSMUST00000183954.3	302	123	0	0
ENSMUST00000103485.2	353	174	1	25.9537
ENSMUST00000103486.1	356	177	1	25.5138
ENSMUST00000191918.1	357	178	2	50.741
ENSMUST00000177949.1	297	118	0	0
ENSMUST00000103304.2	362	183	1	24.6773
ENSMUST00000103305.1	362	183	1	24.6773
ENSMUST00000103306.1	362	183	1	24.6773
ENSMUST00000196006.4	353	174	1	25.9537
ENSMUST00000103307.2	350	171	1	26.4091
ENSMUST00000200578.4	353	174	1	25.9537
ENSMUST00000103308.2	350	171	1	26.4091
ENSMUST00000200586.1	353	174	1	25.9537
ENSMUST00000103309.2	341	162	1	27.8762
ENSMUST00000103310.2	353	174	1	25.9537
ENSMUST00000197406.4	353	174	1	25.9537
ENSMUST00000103311.2	350	171	1	26.4091
ENSMUST00000196768.1	353	174	2	51.9075
ENSMUST00000103312.2	287	108	0	0
ENSMUST00000103313.2	353	174	1	25.9537
ENSMUST00000103314.2	359	180	1	25.0886
ENSMUST00000197515.1	353	174	1	25.9537
ENSMUST00000103315.2	350	171	1	26.4091
ENSMUST00000103316.1	353	174	1	25.9537
ENSMUST00000103317.2	359	180	1	25.0886
ENSMUST00000103318.5	361	182	1	24.8129
ENSMUST00000103319.2	358	179	1	25.2288
